Customer,Name,Hour,Queries,Total Runtime,Average Runtime
GACFI,GACFI_Writer,18,50,124.2722,2.4854439999999998
GACFI,GACFI_Viewer,19,78,123.5957,1.9311828125
GACFI,GACFI_Writer,12,34,104.0569,3.0604970588235294
GACFI,GACFI_Writer,15,37,93.1619,3.4504407407407407
GACFI,GACFI_Writer,19,34,70.8088,2.0826117647058826
OHMIDOH,OHMIDOH_Viewer,17,1,2.1504,2.1504
OHMODPW,OHMODPW_Writer,19,1377,3375.7496,4.453495514511873
OHMODPW,OHMODPW_Writer,16,1855,2548.4729,4.494661199294533
OHMODPW,OHMODPW_Writer,17,957,2419.7804,4.753988998035363
OHMODPW,OHMODPW_Writer,15,886,2191.7639,3.5696480456026056
OHMODPW,OHMODPW_Writer,20,1136,1691.243,4.6082915531335145
ALMHBCS,ALMHBCS_Writer,21,1693,1650.959,2.798235593220339
ALMHBCS,ALMHBCS_Writer,12,158,531.4254,3.363451898734177
ALMHBCS,ALMHBCS_Viewer,15,101,251.1461,3.3486146666666667
ALMHBCS,ALMHBCS_Viewer,20,141,230.3069,1.9684350427350428
ALMHBCS,ALMHBCS_Viewer,13,56,195.188,5.5767999999999995
CABOYR,CABOYR_Viewer,23,233,512.1965,2.404678403755869
CABOYR,CABOYR_Writer,20,123,349.113,4.107211764705882
CABOYR,CABOYR_Viewer,20,217,328.8148,2.3655741007194244
CABOYR,CABOYR_Viewer,17,142,277.8577,2.5032225225225226
CABOYR,CABOYR_Viewer,21,73,264.7447,3.6266397260273977
OHEASTC,OHEASTC_Viewer,19,47,495.5532,12.706492307692308
OHEASTC,OHEASTC_Viewer,18,11,75.5878,6.871618181818182
OHEASTC,OHEASTC_Viewer,13,30,67.1049,3.355245
OHEASTC,OHEASTC_Viewer,12,17,55.2385,4.603208333333334
OHEASTC,OHEASTC_Viewer,21,7,42.8341,6.1191571428571425
ORLKGLS,ORLKGLS_Viewer,17,1,2.021,2.021
PACFF,PACFF_Viewer,15,320,1084.5339,4.236460546875
PACFF,PACFF_Viewer,17,300,817.2707,3.0840403773584906
PACFF,PACFF_Viewer,18,255,789.4524,3.2622
PACFF,PACFF_Viewer,13,246,543.7116,2.7322190954773866
