Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
OROCP,1127,73.9341168287489,0.689321206743567,7.821
ILOMNIY,1109,55.42474373309288,0.5819125338142471,9.785
IALUTSV,1108,89.5977819801444,0.6505938628158844,12.189
ALMHBCS,1104,24.986197057065215,0.4188668478260869,6.257
CAMHALA,1102,34.16462554718693,0.5298847549909256,7.783
DEMO5,1082,52.2628084676525,1.1143364140480592,14.453
GBCTR,1073,94.52894006989749,0.8110149114631874,27.45
CAMASADA,1067,21.686796856607312,0.5020196813495782,5.642
ALSWAMH,1061,38.07111235532517,0.6259802073515551,9.749
TXEPCGC,1012,106.92336685573123,0.8543982213438734,10.422
CTBDGHC,1003,65.41069308574276,0.6053280159521436,8.759
WAACIHS,966,32.92378785507246,0.4733964803312629,11.474
OHCCBH,955,57.92929058848168,0.5544335078534032,5.549
NYIBDCC,954,164.84466757756812,1.2054350104821803,17.372
MARIVCC,920,65.91310535543478,1.0546467391304348,42.366
OHHPSYS,908,77.98498137334802,1.5413281938325991,19.655
RBMHC,900,29.381969341111112,0.55955,23.21
MONCMMH,848,25.891018113207547,0.7904504716981132,12.553
