Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
HAMDN,1127,30.050056409937888,1.2977817213842058,15.056
AKXPIOH,1118,24.7501435411449,0.5064239713774598,7.038
PIN,1110,203.06849841171172,4.557770270270271,215.625
ALSWAMH,1049,55.63741022592946,0.7294337464251669,7.413
ALMHBCS,1030,22.54324209805825,0.4396252427184466,6.408
BGVLG,1011,44.04395048170129,0.5407972304648863,4.966
PACRSCS,1006,51.288485638170975,0.5870785288270378,7.491
CAMHALA,1002,23.04550642015968,0.5354481037924151,6.365
MONCMMH,989,62.17218128918099,0.9641638018200203,11.395
GBCTR,988,139.75805543016193,1.326254048582996,18.256
MARIVCC,954,93.34147324318658,0.9903102725366876,12.097
RBMHC,951,89.31238467087277,0.6941230283911671,10.585
CTCJR,945,31.660529302645504,0.48291746031746036,6.597
AKVOLAM,932,18.87239328969957,0.4191137339055794,4.114
OHRAVEN,927,58.75252101078748,0.5800474649406687,6.494
LAVOASL,905,64.24146000552486,0.6791005524861878,10.177
NJRCHDH,887,53.5738598940248,0.885499436302142,10.26
NJCMMAU,886,137.89254795598194,1.5422629796839729,11.725
OHCCC,856,32.40374174182243,0.5430151869158879,4.637
WATRITS,854,11.240046066744732,0.38918969555035127,7.629
OHMCKHL,838,68.15544594033413,0.8444224343675417,10.154
CATVFSI,802,39.28385941147132,0.4649862842892768,6.489
GALKT,779,409.24858064313224,2.5499422336328625,109.516
OHACC,752,9.560542864361702,0.47793617021276597,3.132
INVOAOH,752,63.322439699468084,1.184840425531915,11.207
OHHPSYS,751,149.25349817043943,2.3910852197070573,18.887
MALUKCC,718,112.83080662116991,0.8225807799442898,7.859
SMEMR,697,95.06902287804877,1.1107116212338595,14.003
FMRSH,673,109.9074615141159,0.8570163447251116,20.932
EMRGC,661,88.98364864901664,0.5977866868381241,7.863
MOQOPC,656,50.71311129115854,0.6161935975609756,12.966
DEMO,636,2.2668108474842765,0.2586619496855346,2.575
CACMMHC,613,45.296913732463295,0.7243947797716149,6.674
WACCSWW,602,16.23525280730897,0.40677740863787376,21.363
IACIOWA,598,9.241005622073578,0.24805183946488296,3.552
MHSDL,550,34.48391713272727,0.5124345454545455,4.361
AKDENALI,549,10.695227393442623,0.23530601092896172,2.957
